635,335,-356,688,-2157,-96,-632,-2301,-2196,-2645,-1222,-2347,-2487,-2353,-2266,-2664,-2400,-2982,-3053,-2517,-1905,-1784,-1828,-1627,-1568,-1443,-1647,-1793,-1721,-1304,-1505,-1340,-1461,-1654,-1379,-1249,-1423,-1445,-1531,-1353,-1576,-1884,-1617,-1668,-1487,-1414,-1529,-1450,-1371,-1547,-1375,-1336,-1351,-1560,-1194,-1117,-1085,-1142,-812,-925,241,-288,-216,-124,-200,-79,-59,-81,-95,-164,-219,-280,-506,-175,-267,-436,567,-396,-373,-443,-396,-431,-444,-458,-450,-411,-473,-473,-389,-485,-498,-493,-519,-443,-534,-459,-446,-389,-492,-471,-504,-514,-523,-523,-526,-540,-484,-468,-454,-335,-504,-489,-750,-808,-597,-722,-775,-544,-451,-456,-489,-536,-547,-501,-459,-492,-593,-672,-561,-560,-515,-474,-436,-514,-633,-335,-564,-469,-458,-417,-358,-472,-430,-452,-424,-440,-397,-507,-584,-364,-440,-341,-278,-466,-313,-388,-321,-317,-553,-589,-495,-439,-416,-370,-353,-395,-568,-490,-523,-359,-373,-440,-634,-695,-627,-463,-403,-349,-370,-288,-704,-482,-651,-646,-452,-294,-398,-377,-395,-599,-672,-620,-617,-706,-476,-613,-627,-645,-571
-579,-481,-1577,-1176,91,-1246,-446,-986,-370,-852,-1608,-668,-424,141,-525,-55,-668,-736,-486,-320,-62,134,81,105,-192,-369,-238,-59,-67,144,-29,57,-12,-210,-195,-8,34,38,241,-69,-14,147,105,317,133,101,-29,-25,-31,-193,201,-106,-54,170,243,-114,-13,-143,-185,-326,-1176,-157,-346,-353,-537,-418,-457,-467,-431,-417,-482,-411,-579,-310,-429,-397,-100,-441,-271,-343,-363,-283,-358,-361,-348,-416,-395,-433,-418,-368,-378,-422,-307,-283,-270,-326,-202,-114,-49,-87,-108,-100,-155,-162,-108,-127,-267,-272,-212,-239,-219,-257,-359,-455,-290,-483,-263,-282,-321,-351,-340,-324,-316,-266,-290,-333,-334,-408,-363,-453,-297,-254,-331,-345,-389,-351,-462,-348,-253,-134,-139,-295,-275,-264,-177,-365,-353,-350,-305,145,-84,-245,-153,-229,-149,-137,-200,-253,-292,-368,-175,-168,-152,-266,-161,-180,-249,-162,-109,-172,-107,65,-16,-313,-194,46,32,62,111,112,33,221,115,16,73,210,99,158,108,297,406,405,195,75,171,258,234,159,276
4421,4995,4184,-3577,11690,2842,1455,1299,1903,1956,1650,2596,3228,3226,3680,3471,3719,4508,4571,4466,4377,4207,4060,3993,3958,3812,4037,4172,4076,4207,4258,4123,4381,4057,3877,3927,3963,3920,4133,3659,3989,4170,4036,4215,4063,3983,3950,4011,3901,3903,4000,4032,4000,4247,4337,4055,4155,4270,4178,4167,4424,4290,4124,4156,4130,4179,4204,4206,4275,4335,4206,4332,4178,4167,4143,4255,3941,4198,4240,4180,4163,4192,4211,4265,4236,4141,4189,4267,4189,4291,4265,4245,4378,4233,4292,4261,4205,4144,4256,4242,4194,4400,4374,4272,4299,4370,4106,4132,4274,4097,4301,4018,4446,4422,4281,4190,4458,4296,4195,4179,4217,4204,4220,4273,4146,4082,4290,4284,4237,4206,4385,4346,4217,4261,4321,4062,4159,4156,4353,4299,4182,4251,4216,4266,4392,4180,4005,4112,4357,4432,4426,4085,4167,4238,4262,4208,4134,4217,4257,4240,4247,4242,4321,4124,4197,4249,4273,4450,4291,3992,4292,4352,4354,4083,4285,4343,4281,4252,4211,4268,4306,4365,4263,4161,4055,4050,4004,4129,4216,4468,4465,4476,4200,4081,4020,4166,4139,4165,4222
-404,-550,-445,-929,-1243,258,-51,-629,-228,279,374,72,120,69,161,78,175,128,407,397,56,217,193,170,-22,-488,-103,136,83,5,-125,-199,-233,-26,174,223,79,301,85,-58,170,55,61,-50,-31,2,-125,-42,48,-142,7,28,172,-82,105,-147,-147,23,-226,-350,-533,-225,-210,-163,-104,-23,12,85,21,51,96,140,101,-1,-21,21,75,72,58,12,-88,1,-68,-17,-14,9,12,29,-44,-9,29,83,190,125,83,220,280,244,145,213,-29,-355,56,117,-79,-77,-102,-99,-114,-110,50,-287,-156,98,-33,52,-133,4,118,96,34,49,20,12,-42,-72,-126,-106,-104,45,80,6,31,96,97,120,-40,-20,-75,296,-2,98,-1,-64,93,-107,-35,-101,178,84,177,296,4,-37,-29,159,-79,50,56,97,117,53,18,32,-23,9,-20,39,69,-114,-3,188,331,243,109,96,67,55,212,79,45,77,74,120,113,-33,12,44,134,120,59,-12,-4,-25,-79,29,31,35,50
75,322,619,11220,-5492,2209,33,-114,16,-756,-568,-1156,-1245,-957,-194,-368,-198,-218,-676,-429,-565,-455,-180,-106,-170,-503,-316,-82,-71,-356,-336,-67,-214,-59,80,112,238,368,225,227,-6,-22,-14,61,-66,-40,-208,-123,-108,-306,-213,-139,-3,-400,-278,-517,-338,-595,-799,-900,-1561,-435,-475,-365,-218,1,10,67,120,169,261,1,128,16,62,105,185,170,37,26,41,-23,-45,9,63,33,90,101,72,48,32,-50,-35,-2,-16,-59,-28,-8,-16,35,22,125,-19,-61,27,-27,8,-3,70,192,136,243,198,-47,-61,-119,-195,-29,-83,-62,-15,6,-11,24,32,35,-7,4,-11,-55,-34,27,29,-66,-72,-85,-28,-3,21,-115,22,-26,5,46,-42,-7,-37,93,-162,-131,-34,-77,48,-136,5,59,-11,77,96,-48,22,43,27,-24,37,35,24,24,-60,80,-16,13,-66,-63,6,61,1,-24,-39,32,141,130,141,24,-43,40,-15,59,80,53,81,38,38,32,106,13,0,17,-6
-74,60,-302,-1604,1660,-2024,212,384,-113,830,703,348,527,245,-11,646,511,-549,649,140,-98,256,-2,104,154,-179,74,126,-96,52,77,42,190,170,133,265,93,373,146,-137,133,111,47,-124,-76,-112,-189,-99,-51,-200,-63,-39,8,-77,47,-61,-129,8,-286,-329,-237,-201,-181,-107,-58,-10,-30,16,-4,53,38,27,64,49,30,25,-43,-32,-21,-46,-66,8,-32,-16,-38,-28,-49,-38,-57,-22,-14,19,-19,-32,-30,-73,-54,3,1,27,14,38,69,119,50,79,41,-3,-9,-32,78,55,60,36,6,-13,-159,-74,24,52,14,72,13,23,9,3,-16,-50,-25,-10,15,-27,47,42,27,5,-56,-35,-30,132,-2,41,-27,-30,-31,-74,-110,-127,-136,-114,8,-35,-64,-68,-28,1,-24,-16,14,-14,8,1,-25,11,-21,28,-52,31,65,-74,31,258,289,217,27,3,30,96,292,179,185,186,102,119,135,15,47,20,50,105,25,61,47,28,-81,11,39,-24,13
